itmcode,ItmName,Rcpdate,denier,itmcode.1,itmname,poytype,grdcode,itmprc
7,M-1020,11-06-2024,170,3211,120/34 BRT POY,Effect,1,50
7,M-1020,11-06-2024,170,3211,120/34 BRT POY,Core,1,50
124,AMISHA,17-06-2024,170,201711,130/108 SD,Effect,1,50
124,AMISHA,17-06-2024,170,201711,130/108 SD,Core,1,50
276,6558 (VISCOSE YARN),17-05-2024,180,21120,180/40 BRT,Core,1,100
457,7571,04-07-2024,135,6223,120/36 BRT POY,Effect,1,60
457,7571,04-07-2024,135,2349856,78/36 BRT POY,Core,1,40
492,KABALI(NYLON YARN),26-04-2024,175,21810,71/48 NYLON,Core,1,50
492,KABALI(NYLON YARN),27-04-2024,175,21810,71/48 NYLON,Effect,1,50
492,KABALI(NYLON YARN),27-04-2024,175,21810,71/48 NYLON,Core,1,50
492,KABALI(NYLON YARN),26-04-2024,175,21810,71/48 NYLON,Effect,1,50
493,RUSTAM,04-07-2024,135,2349856,78/36 BRT POY,Core,1,40
493,RUSTAM,04-07-2024,135,6223,120/36 BRT POY,Effect,1,60
670,9828,03-06-2024,190,6215,160/72 BRT,Effect,1,40
670,9828,03-06-2024,190,6,175/36 DD POY,Core,1,60
701,9923,09-04-2024,120,950,120/48 BRT A WC,Core,1,100
701,9923,09-04-2024,120,950,120/48 BRT A WC,Core,1,100
766,10296 (NYLON YARN),27-04-2024,160,6545,75/36 BRT  FDY,Core,1,50
766,10296 (NYLON YARN),27-04-2024,160,21810,71/48 NYLON,Effect,1,50
948,8994,24-04-2024,95,2350227,135/72 FD POY,Core,1,100
986,NEXA,24-04-2024,95,2350227,135/72 FD POY,Core,1,100
1002,SEPTRON,27-04-2024,140,6560,50/24 NYLON,Effect,1,40
1002,SEPTRON,27-04-2024,140,21810,71/48 NYLON,Core,1,60
2660,11352,22-04-2024,90,1571,126/34 SD P.O.Y,Core,1,100
2662,11321 (NYLON YARN),17-04-2024,120,2350657,50/12 BRT FDY,Core,1,40
2662,11321 (NYLON YARN),17-04-2024,120,21810,71/48 NYLON,Effect,1,60
2754,CHAMPION,13-05-2024,160,2340213,250/72 BRT,Core,1,100
3100,CHAMPION -SL,13-05-2024,160,2340213,250/72 BRT,Core,1,100
3107,110/72 CATO-SL,12-04-2024,110,2349985,170/72 COTTONIC,Core,1,100
3107,110/72 CATO-SL,12-04-2024,110,2349985,170/72 COTTONIC,Core,1,100
3108,110/72 BRT-SL,11-04-2024,110,2348500,165/72 BRT,Core,1,100
3272,MOSAIC,29-06-2024,500,6524,126/72 SD CATO,Core,1,20
3272,MOSAIC,29-06-2024,500,9175,250/144 FD POY,Effect,1,40
3272,MOSAIC,29-06-2024,500,2349032,120/72 FD POY,Core,1,20
3272,MOSAIC,29-06-2024,500,6524,126/72 SD CATO,Effect,1,20
3282,110/72 CATONIC,12-04-2024,110,2349985,170/72 COTTONIC,Core,1,100
3291,110/72 BRIGHT,11-04-2024,110,2348500,165/72 BRT,Core,1,100
3294,CAT SILK,12-04-2024,110,2349985,170/72 COTTONIC,Core,1,100
3568,11188 (95/68 SD NYLON),16-05-2024,95,2348098,50D/34F SD NYLON,Effect,1,50
3568,11188 (95/68 SD NYLON),16-05-2024,95,2348098,50D/34F SD NYLON,Core,1,50
4662,110/72 CATLON SL,12-04-2024,110,2349985,170/72 COTTONIC,Core,1,100
4748,AUSTIN,25-04-2024,170,6511,130/72 POY FD,Effect,1,50
4748,AUSTIN,10-06-2024,170,2349032,120/72 FD POY,Core,1,50
4748,AUSTIN,10-06-2024,170,2349032,120/72 FD POY,Effect,1,50
4748,AUSTIN,25-04-2024,170,6511,130/72 POY FD,Core,1,50
4748,AUSTIN,05-04-2024,170,2350227,135/72 FD POY,Core,1,50
4748,AUSTIN,05-04-2024,170,2350227,135/72 FD POY,Effect,1,50
6001,9540 A,20-04-2024,310,2350227,135/72 FD POY,Effect,1,40
6001,9540 A,02-07-2024,310,6524,126/72 SD CATO,Core,1,30
6001,9540 A,20-04-2024,310,6524,126/72 SD CATO,Core,1,30
6001,9540 A,02-07-2024,310,2349849,130/72 FD RECYCLES,Core,1,30
6001,9540 A,02-07-2024,310,2349849,130/72 FD RECYCLES,Effect,1,40
6001,9540 A,20-04-2024,310,2350227,135/72 FD POY,Core,1,30
6342,11418,05-06-2024,160,6541,120/72 SD,Core,1,50
6342,11418,05-06-2024,160,16,80/72 SD POY,Effect,1,50
6557,KARAN,17-06-2024,170,201711,130/108 SD,Core,1,50
6557,KARAN,17-06-2024,170,201711,130/108 SD,Effect,1,50
6594,M-109,14-05-2024,260,3398,150/72 Bright,Effect,1,50
6594,M-109,14-05-2024,260,2348500,165/72 BRT,Core,1,50
6618,KISHAN SLUB,14-05-2024,260,2348500,165/72 BRT,Core,1,50
6618,KISHAN SLUB,14-05-2024,260,3398,150/72 Bright,Effect,1,50
6645,11433,12-07-2024,135,6524,126/72 SD CATO,Effect,1,60
6645,11433,12-07-2024,135,16,80/72 SD POY,Core,1,40
7215,KAUSTUBH,09-05-2024,60,2349856,78/36 BRT POY,Core,1,100
7263,M-053,13-05-2024,160,2340213,250/72 BRT,Core,1,100
8364,4171,09-07-2024,160,6557,75/40 BRIGHT VISCOSE,Core,1,50
8364,4171,09-07-2024,160,6557,75/40 BRIGHT VISCOSE,Effect,1,50
8595,KRUTI (VISCOSE YARN),09-07-2024,160,6557,75/40 BRIGHT VISCOSE,Core,1,50
8595,KRUTI (VISCOSE YARN),09-07-2024,160,6557,75/40 BRIGHT VISCOSE,Effect,1,50
9125,4270,24-04-2024,60,6537,80/36 BRT CATO,Core,1,100
9313,JUTE FEEL,29-06-2024,140,21847,49/14 SD DD,Effect,1,20
9313,JUTE FEEL,29-06-2024,140,6,175/36 DD POY,Core,1,80
19880,4603 (VISCOSE YARN),31-05-2024,120,6635,120 BRT VISCOSE,Core,1,100
19989,RUSH,29-06-2024,140,6,175/36 DD POY,Core,1,80
19989,RUSH,29-06-2024,140,21847,49/14 SD DD,Effect,1,20
20037,5119,11-06-2024,170,3211,120/34 BRT POY,Core,1,50
20037,5119,11-06-2024,170,3211,120/34 BRT POY,Effect,1,50
20237,M-426,29-06-2024,140,21847,49/14 SD DD,Effect,1,20
20237,M-426,29-06-2024,140,6,175/36 DD POY,Core,1,80
20266,DABANG-2,11-06-2024,170,3211,120/34 BRT POY,Core,1,50
20266,DABANG-2,11-06-2024,170,3211,120/34 BRT POY,Effect,1,50
20864,BLAZER,09-05-2024,650,6213,235/72 BRT,Effect,1,25
20864,BLAZER,09-05-2024,650,6235,500/96 BRT,Effect,1,50
20864,BLAZER,23-05-2024,650,6235,500/96 BRT,Effect,1,50
20864,BLAZER,23-05-2024,650,2340213,250/72 BRT,Effect,1,25
20864,BLAZER,23-05-2024,650,19929,130/72 SD BLACK.,Core,1,12
20864,BLAZER,23-05-2024,650,19929,130/72 SD BLACK.,Core,1,13
20864,BLAZER,09-05-2024,650,16027,250/48 SD BLACK,Core,1,25
21110,TAHALKA,17-06-2024,800,3265,160/72 CATONIC,Effect,1,30
21110,TAHALKA,17-06-2024,800,3265,160/72 CATONIC,Effect,1,30
21110,TAHALKA,17-06-2024,800,6215,160/72 BRT,Core,1,20
21110,TAHALKA,17-06-2024,800,6215,160/72 BRT,Core,1,20
21680,5681,01-06-2024,170,2348500,165/72 BRT,Core,1,65
21680,5681,01-06-2024,170,2349856,78/36 BRT POY,Effect,1,35
21680,5681,04-04-2024,170,18,80/36 BRT POY,Effect,1,35
21680,5681,08-04-2024,170,2348500,165/72 BRT,Core,1,65
21680,5681,08-04-2024,170,18,80/36 BRT POY,Effect,1,35
21680,5681,04-04-2024,170,6215,160/72 BRT,Core,1,65
21737,5633,17-06-2024,800,3265,160/72 CATONIC,Effect,1,30
21737,5633,17-06-2024,800,6215,160/72 BRT,Core,1,20
21737,5633,17-06-2024,800,3265,160/72 CATONIC,Effect,1,30
21737,5633,17-06-2024,800,6215,160/72 BRT,Core,1,20
22007,4662 (VISCOSE YARN),18-05-2024,80,6557,75/40 BRIGHT VISCOSE,Core,1,100
22007,4662 (VISCOSE YARN),05-07-2024,80,6557,75/40 BRIGHT VISCOSE,Core,1,100
22575,5942,23-05-2024,70,2350008,126/36 BRT CATONIC,Core,1,100
22742,SENTOSA,13-04-2024,330,2348500,165/72 BRT,Core,1,33
22742,SENTOSA,13-04-2024,330,2348500,165/72 BRT,Effect,1,33
22742,SENTOSA,13-04-2024,330,2348500,165/72 BRT,Effect,1,34
22742,SENTOSA,13-04-2024,330,2348500,165/72 BRT,Core,1,33
22742,SENTOSA,13-04-2024,330,2348500,165/72 BRT,Effect,1,33
22742,SENTOSA,13-04-2024,330,2348500,165/72 BRT,Effect,1,34
22742,SENTOSA,13-04-2024,330,2348500,165/72 BRT,Core,1,33
22742,SENTOSA,13-04-2024,330,2348500,165/72 BRT,Effect,1,33
22742,SENTOSA,13-04-2024,330,2348500,165/72 BRT,Effect,1,34
22820,FLASH (NYLON YARN),27-04-2024,140,9628,140/72 BRT NYLON POY,Core,1,100
22826,6153,01-06-2024,1500,6235,500/96 BRT,Core,1,40
22826,6153,01-06-2024,1500,6235,500/96 BRT,Effect,1,40
22826,6153,01-06-2024,1500,6215,160/72 BRT,Effect,1,20
23501,6077(NYLON YARN),27-04-2024,175,21810,71/48 NYLON,Effect,1,50
23501,6077(NYLON YARN),26-04-2024,175,21810,71/48 NYLON,Effect,1,50
23501,6077(NYLON YARN),27-04-2024,175,21810,71/48 NYLON,Core,1,50
23501,6077(NYLON YARN),26-04-2024,175,21810,71/48 NYLON,Core,1,50
23525,6328 (VISCOSE YARN),20-05-2024,160,6557,75/40 BRIGHT VISCOSE,Effect,1,50
23525,6328 (VISCOSE YARN),20-05-2024,160,6557,75/40 BRIGHT VISCOSE,Core,1,50
23907,LAURA,14-04-2024,270,6215,160/72 BRT,Effect,1,40
23907,LAURA,08-04-2024,270,6213,235/72 BRT,Core,1,60
23907,LAURA,14-04-2024,270,2348494,245/72 BRT,Core,1,60
23907,LAURA,14-04-2024,270,6215,160/72 BRT,Effect,1,40
23907,LAURA,14-04-2024,270,2348494,245/72 BRT,Core,1,60
23907,LAURA,14-04-2024,270,6215,160/72 BRT,Effect,1,40
23907,LAURA,14-04-2024,270,2348494,245/72 BRT,Core,1,60
23907,LAURA,08-04-2024,270,2348500,165/72 BRT,Effect,1,40
23957,6559 (VISCOSE YARN),05-07-2024,160,23906,150/40 BRT VISCOSE,Core,1,100
23984,KEERTHI,05-07-2024,160,23906,150/40 BRT VISCOSE,Core,1,100
24333,CROME,25-04-2024,160,23630,122/108/SD,Effect,1,50
24333,CROME,25-04-2024,160,19929,130/72 SD BLACK.,Core,1,50
24390,M-672,25-04-2024,160,19929,130/72 SD BLACK.,Core,1,50
24390,M-672,25-04-2024,160,23630,122/108/SD,Effect,1,50
25190,7189 (VISCOSE YARN),20-05-2024,200,25761,80/12 SPARKLE DPD FDY,Core,1,40
25190,7189 (VISCOSE YARN),20-05-2024,200,13,120/40  BRT VISCOSE POY,Effect,1,60
26513,SUPER SOFT BLACK-4,19-04-2024,300,19929,130/72 SD BLACK.,Effect,1,30
26513,SUPER SOFT BLACK-4,19-04-2024,300,19929,130/72 SD BLACK.,Effect,1,30
26513,SUPER SOFT BLACK-4,19-04-2024,300,2350524,265/136 SD BLACK,Core,1,70
26513,SUPER SOFT BLACK-4,19-04-2024,300,2350524,265/136 SD BLACK,Core,1,70
26585,11366,30-04-2024,145,6511,130/72 POY FD,Effect,1,60
26585,11366,30-04-2024,145,202687,80/72 FD,Core,1,40
63526,MFA-230 A,02-05-2024,150,9175,250/144 FD POY,Core,1,100
63528,110/96 CATLON ,02-05-2024,110,63521,160/96 CATONIC,Core,1,100
63536,11348,09-05-2024,120,2345374,170/144 SD POY,Core,1,100
63536,11348,22-04-2024,120,25224,160/144 SD,Core,1,100
63544,11380,04-05-2024,80,6223,120/36 BRT POY,Core,1,100
63551,11350,09-05-2024,290,2345374,170/144 SD POY,Core,1,40
63551,11350,09-05-2024,290,2347838,230/288 SD POY,Effect,1,60
63551,11350,22-04-2024,290,2347838,230/288 SD POY,Effect,1,60
63551,11350,22-04-2024,290,25224,160/144 SD,Core,1,40
63552,11335,11-04-2024,320,2347838,230/288 SD POY,Effect,1,60
63552,11335,04-06-2024,320,25224,160/144 SD,Core,1,40
63552,11335,11-04-2024,320,2345374,170/144 SD POY,Core,1,40
63552,11335,04-06-2024,320,2347838,230/288 SD POY,Effect,1,60
63553,FLUFFY-2,25-05-2024,550,2347838,230/288 SD POY,Effect,1,25
63553,FLUFFY-2,25-05-2024,550,25224,160/144 SD,Effect,1,20
63553,FLUFFY-2,25-05-2024,550,2347838,230/288 SD POY,Core,1,30
63553,FLUFFY-2,25-05-2024,550,2347838,230/288 SD POY,Core,1,25
63578,60/24/800,11-05-2024,60,2340339,60/24 BRT VISCOSE,Core,1,100
63581,11391,13-05-2024,450,2345178,335/136 FD,Effect,1,50
63581,11391,13-05-2024,450,6541,120/72 SD,Effect,1,15
63581,11391,13-05-2024,450,9175,250/144 FD POY,Core,1,35
63582,11390,13-05-2024,1100,2347838,230/288 SD POY,Core,1,20
63582,11390,13-05-2024,1100,2347838,230/288 SD POY,Effect,1,20
63582,11390,13-05-2024,1100,2347838,230/288 SD POY,Core,1,20
63582,11390,13-05-2024,1100,21303,500/96 SD,Effect,1,40
63595,11392 (NYLON YARN),14-05-2024,70,2348097,83D/68F SD NYLON,Core,1,100
63596,MFR-298 (150/144 SD MREC+40 BLK SP),14-05-2024,200,2347140,40 SPANDEX BLACK,Effect,1,10
63596,MFR-298 (150/144 SD MREC+40 BLK SP),14-05-2024,200,6541,120/72 SD,Core,1,45
63596,MFR-298 (150/144 SD MREC+40 BLK SP),14-05-2024,200,6541,120/72 SD,Core,1,45
63609,11383,23-05-2024,140,20982,50/36BRT BLACK FDY,Effect,1,50
63609,11383,23-05-2024,140,20982,50/36BRT BLACK FDY,Core,1,50
63611,11394,15-05-2024,450,2349466,330/108 SD BLACK POY,Effect,1,50
63611,11394,15-05-2024,450,19929,130/72 SD BLACK.,Effect,1,15
63611,11394,15-05-2024,450,2348946,250/144 SD BLACK,Core,1,35
64265,75/72/2 SD LIM MREC AUDI,05-04-2024,150,755,135/72 SD RECYCLES,Core,1,50
64265,75/72/2 SD LIM MREC AUDI,05-04-2024,150,755,135/72 SD RECYCLES,Effect,1,50
64287,320 SIRO,04-06-2024,320,2347838,230/288 SD POY,Effect,1,60
64287,320 SIRO,11-04-2024,320,2347838,230/288 SD POY,Effect,1,60
64287,320 SIRO,11-04-2024,320,2345374,170/144 SD POY,Core,1,40
64287,320 SIRO,04-06-2024,320,25224,160/144 SD,Core,1,40
64288,11336,11-04-2024,150,26572,60/30 BRT VISCOSS,Core,1,60
64288,11336,11-04-2024,150,24029,50/30 BRT VISCOSE,Effect,1,40
64297,11339,28-04-2024,600,6511,130/72 POY FD,Core,1,15
64297,11339,28-04-2024,600,201040,250/48 SD CATO.,Effect,1,35
64297,11339,28-04-2024,600,6524,126/72 SD CATO,Effect,1,15
64297,11339,28-04-2024,600,2341941,250/136 FD POY,Core,1,35
64297,11339,16-04-2024,600,6524,126/72 SD CATO,Effect,1,15
64297,11339,16-04-2024,600,201040,250/48 SD CATO.,Effect,1,35
64297,11339,16-04-2024,600,6524,126/72 SD CATO,Effect,1,15
64297,11339,16-04-2024,600,6524,126/72 SD CATO,Effect,1,15
64297,11339,16-04-2024,600,9175,250/144 FD POY,Core,1,35
64297,11339,16-04-2024,600,201040,250/48 SD CATO.,Effect,1,35
64297,11339,16-04-2024,600,6511,130/72 POY FD,Core,1,15
64297,11339,16-04-2024,600,9175,250/144 FD POY,Core,1,35
64297,11339,16-04-2024,600,6511,130/72 POY FD,Core,1,15
64297,11339,24-06-2024,600,6511,130/72 POY FD,Core,1,15
64297,11339,24-06-2024,600,201040,250/48 SD CATO.,Effect,1,35
64297,11339,16-04-2024,600,9175,250/144 FD POY,Core,1,35
64297,11339,16-04-2024,600,6511,130/72 POY FD,Core,1,15
64297,11339,16-04-2024,600,201040,250/48 SD CATO.,Effect,1,35
64297,11339,16-04-2024,600,6524,126/72 SD CATO,Effect,1,15
64297,11339,24-06-2024,600,6524,126/72 SD CATO,Effect,1,15
64297,11339,16-04-2024,600,201040,250/48 SD CATO.,Effect,1,35
64297,11339,16-04-2024,600,6511,130/72 POY FD,Core,1,15
64297,11339,24-06-2024,600,2341941,250/136 FD POY,Core,1,35
64297,11339,16-04-2024,600,9175,250/144 FD POY,Core,1,35
64301,FLUFFY-1,15-04-2024,450,2347838,230/288 SD POY,Effect,1,25
64301,FLUFFY-1,15-04-2024,450,2347838,230/288 SD POY,Effect,1,25
64301,FLUFFY-1,15-04-2024,450,2347838,230/288 SD POY,Effect,1,25
64301,FLUFFY-1,15-04-2024,450,2347838,230/288 SD POY,Core,1,50
64301,FLUFFY-1,15-04-2024,450,2347838,230/288 SD POY,Effect,1,25
64301,FLUFFY-1,15-04-2024,450,2347838,230/288 SD POY,Effect,1,25
64301,FLUFFY-1,15-04-2024,450,2347838,230/288 SD POY,Effect,1,25
64301,FLUFFY-1,15-04-2024,450,2347838,230/288 SD POY,Core,1,50
64301,FLUFFY-1,15-04-2024,450,2347838,230/288 SD POY,Core,1,50
64301,FLUFFY-1,15-04-2024,450,2347838,230/288 SD POY,Effect,1,25
64301,FLUFFY-1,15-04-2024,450,2347838,230/288 SD POY,Effect,1,25
64301,FLUFFY-1,15-04-2024,450,2347838,230/288 SD POY,Core,1,50
64305,11285,18-04-2024,210,6541,120/72 SD,Core,1,50
64305,11285,18-04-2024,210,6541,120/72 SD,Effect,1,50
73457,75/72/2 FD LIM AUDI,09-05-2024,150,2349849,130/72 FD RECYCLES,Effect,1,50
73457,75/72/2 FD LIM AUDI,17-04-2024,150,2343743,133/72 FD POY,Core,1,50
73457,75/72/2 FD LIM AUDI,17-04-2024,150,2343743,133/72 FD POY,Effect,1,50
73457,75/72/2 FD LIM AUDI,13-04-2024,150,2349849,130/72 FD RECYCLES,Core,1,50
73457,75/72/2 FD LIM AUDI,13-04-2024,150,2349849,130/72 FD RECYCLES,Core,1,50
73457,75/72/2 FD LIM AUDI,09-05-2024,150,2349849,130/72 FD RECYCLES,Core,1,50
73457,75/72/2 FD LIM AUDI,13-04-2024,150,2349849,130/72 FD RECYCLES,Core,1,50
73457,75/72/2 FD LIM AUDI,13-04-2024,150,2349849,130/72 FD RECYCLES,Effect,1,50
73457,75/72/2 FD LIM AUDI,13-04-2024,150,2349849,130/72 FD RECYCLES,Effect,1,50
73457,75/72/2 FD LIM AUDI,13-04-2024,150,2349849,130/72 FD RECYCLES,Effect,1,50
201374,KRACKJACK,16-04-2024,110,2348500,165/72 BRT,Core,1,100
201374,KRACKJACK,16-04-2024,110,2348500,165/72 BRT,Core,1,100
201374,KRACKJACK,16-04-2024,110,2348500,165/72 BRT,Core,1,100
201374,KRACKJACK,16-04-2024,110,2348500,165/72 BRT,Core,1,100
202179,6556,08-04-2024,270,2348500,165/72 BRT,Effect,1,40
202179,6556,08-04-2024,270,6213,235/72 BRT,Core,1,60
202179,6556,14-04-2024,270,2348494,245/72 BRT,Core,1,60
202179,6556,14-04-2024,270,6215,160/72 BRT,Effect,1,40
202421,6622,11-05-2024,130,2346201,75/36 BRT(FDY),Core,1,50
202421,6622,11-05-2024,130,16321,30/18 FDY,Effect,1,50
203335,8866,24-06-2024,190,3265,160/72 CATONIC,Effect,1,60
203335,8866,24-06-2024,190,6223,120/36 BRT POY,Core,1,40
234136,JALPARI,24-06-2024,190,3265,160/72 CATONIC,Effect,1,60
234136,JALPARI,24-06-2024,190,6223,120/36 BRT POY,Core,1,40
2339231,BAMBOO (NYLON YARN),05-04-2024,168,21810,71/48 NYLON,Core,1,60
2339231,BAMBOO (NYLON YARN),05-04-2024,168,6560,50/24 NYLON,Effect,1,40
2339266,8946,13-04-2024,220,2350195,360/96 BRT POY,Core,1,100
2339266,8946,13-04-2024,220,2350195,360/96 BRT POY,Core,1,100
2339266,8946,13-04-2024,220,2350195,360/96 BRT POY,Core,1,100
2339718,100% POLYESTER FILAMENT YARN I,24-04-2024,95,2350227,135/72 FD POY,Core,1,100
2340038,9183 (VISCOSE YARN),20-05-2024,160,21847,49/14 SD DD,Effect,1,25
2340038,9183 (VISCOSE YARN),20-05-2024,160,13,120/40  BRT VISCOSE POY,Core,1,75
2340038,9183 (VISCOSE YARN),25-06-2024,160,13,120/40  BRT VISCOSE POY,Core,1,75
2340038,9183 (VISCOSE YARN),25-06-2024,160,21847,49/14 SD DD,Effect,1,25
2340386,NEXON,06-04-2024,95,2350227,135/72 FD POY,Core,1,100
2340679,MFR-025,26-04-2024,110,2350430,60/36 BRT CATONIC,Effect,1,30
2340679,MFR-025,26-04-2024,110,6541,120/72 SD,Core,1,70
2340891,9425,19-04-2024,110,16,80/72 SD POY,Core,1,50
2340891,9425,19-04-2024,110,9807,81/24 SD CATO.,Effect,1,50
2340891,9425,19-04-2024,110,9807,81/24 SD CATO.,Effect,1,50
2340891,9425,19-04-2024,110,16,80/72 SD POY,Core,1,50
2340891,9425,13-05-2024,110,2350525,85/24 SD CATO,Effect,1,50
2340891,9425,13-05-2024,110,16,80/72 SD POY,Core,1,50
2340933,9444,27-05-2024,440,2576,235/72 CATONIC,Core,1,40
2340933,9444,27-05-2024,440,9175,250/144 FD POY,Effect,1,40
2340933,9444,27-05-2024,440,2350227,135/72 FD POY,Core,1,20
2341482,MARLTEX ,24-04-2024,95,2350227,135/72 FD POY,Core,1,100
2341633,159,11-04-2024,110,2348500,165/72 BRT,Core,1,100
2341713,110/72 CATLON,12-04-2024,110,2349985,170/72 COTTONIC,Core,1,100
2341713,110/72 CATLON,19-04-2024,110,3265,160/72 CATONIC,Core,1,100
2341713,110/72 CATLON,17-04-2024,110,2349985,170/72 COTTONIC,Core,1,100
2342451,9722,29-06-2024,500,6524,126/72 SD CATO,Core,1,20
2342451,9722,29-06-2024,500,2349032,120/72 FD POY,Core,1,20
2342451,9722,29-06-2024,500,6524,126/72 SD CATO,Effect,1,20
2342451,9722,29-06-2024,500,9175,250/144 FD POY,Effect,1,40
2342607,9763,24-04-2024,340,6524,126/72 SD CATO,Effect,1,30
2342607,9763,24-04-2024,340,6524,126/72 SD CATO,Effect,1,35
2342607,9763,24-04-2024,340,2345374,170/144 SD POY,Core,1,35
